        t / s      omega / (rad/s)
        0.127              0.24769
        0.338              0.37341
        0.490              0.46131
        0.618              0.52336
        0.731              0.59049
        0.832              0.66764
        0.923              0.71403
        1.008              0.76459
        1.088              0.79614
        1.164              0.86158
        1.235              0.92989
        1.303              0.89289
        1.370              0.99001
        1.432              1.03997
        1.493              1.04073
        1.551              1.12276
        1.607              1.11850
        1.663              1.12038
        1.718              1.17647
        1.771              1.18466
        1.822              1.26412
        1.872              1.24644
        1.922              1.26800
        1.972              1.28727
        2.019              1.34619
        2.066              1.36129
        2.111              1.40888
        2.156              1.39484
        2.200              1.43681
        2.244              1.46642
        2.286              1.49372
        2.329              1.47044
        2.370              1.55910
        2.412              1.47278
        2.452              1.61248
        2.492              1.55394
        2.532              1.59253
        2.571              1.62390
        2.609              1.73186
        2.646              1.60384
        2.685              1.66407
        2.722              1.68572
        2.759              1.69212
        2.797              1.69894
        2.833              1.74141
        2.869              1.76479
        2.904              1.81931
        2.939              1.81009
        2.973              1.81333
        3.008              1.77908
        3.043              1.82821
        3.077              1.84903
        3.111              1.86550
        3.145              1.89704
        3.178              1.90897
        3.210              1.94412
        3.242              1.96817
        3.274              1.96350
        3.306              1.93722
        3.339              1.96706
        3.370              2.03530
        3.401              2.02025
        3.432              2.02461
        3.463              2.06936
        3.493              2.09440
        3.523              2.07667
        3.553              2.08799
        3.583              2.11926
        3.613              2.12946
        3.642              2.09342
        3.672              2.20858
        3.700              2.19224
        3.730              2.08453
        3.758              2.35466
        3.785              2.24704
        3.814              2.20316
        3.842              2.24696
        3.869              2.32969
        3.897              2.28812
        3.925              2.18728
        3.952              2.40975
        3.979              2.31476
        4.006              2.35767
        4.032              2.41559
        4.058              2.38859
        4.085              2.31903
        4.111              2.45533
        4.137              2.36157
        4.163              2.43931
        4.188              2.66135
        4.213              2.41040
        4.240              2.31110
        4.266              2.46361
        4.291              2.52316
        4.316              2.48829
        4.341              2.54071
        4.366              2.55175
        4.390              2.59732
        4.414              2.58503
        4.439              2.53958
        4.464              2.58015
        4.488              2.62796
        4.512              2.62796
        4.536              2.58525
        4.560              2.59904
        4.584              2.69665
        4.607              2.67632
        4.630              2.69226
        4.654              2.65887
        4.677              2.73706
        4.700              2.83409
        4.723              2.61190
        4.746              2.80049
        4.768              2.84526
        4.791              2.77232
        4.813              2.90848
        4.835              2.83218
        4.857              2.77049
        4.880              2.84745
        4.902              2.81127
        4.924              2.94377
        4.945              2.85314
        4.967              2.84952
        4.989              2.84978
        5.011              2.93032
        5.033              2.92432
        5.054              2.98050
        5.075              2.91333
        5.097              2.96699
        5.118              2.98829
        5.139              3.01381
        5.160              2.93264
        5.181              3.07984
        5.202              2.87876
        5.223              3.12394
        5.243              2.98744
        5.264              3.03184
        5.285              3.06991
        5.305              3.24394
        5.325              2.98545
        5.346              3.07291
        5.366              3.08923
        5.386              3.08377
        5.407              3.07276
        5.427              3.12814
        5.447              3.14994
        5.467              3.22562
        5.486              3.19057
        5.506              3.17621
        5.526              3.09715
        5.546              3.16008
        5.566              3.17943
        5.586              3.19300
        5.605              3.22099
        5.625              3.22927
        5.644              3.26807
        5.663              3.28395
        5.683              3.26298
        5.702              3.20146
        5.722              3.23326
        5.741              3.32972
        5.760              3.28842
        5.779              3.27881
        5.798              3.33768
        5.817              3.36017
        5.835              3.31724
        5.854              3.32075
        5.873              3.35318
        5.892              3.35658
        5.911              3.28361
        5.930              3.45192
        5.948              3.41107
        5.967              3.22827
        5.985              3.63463
        6.003              3.45439
        6.021              3.37515
        6.040              3.42632
        6.058              3.54122
        6.076              3.46467
        6.094              3.29809
        6.113              3.62352
        6.130              3.46391
        6.148              3.51822
        6.166              3.59327
        6.184              3.54002
        6.202              3.42315
        6.220              3.61581
        6.237              3.46697
        6.255              3.56776
        6.272              3.88402
        6.289              3.50292
        6.307              3.35085
        6.326              3.55948
        6.343              3.63694
        6.361              3.57263
        6.378              3.63863
        6.395              3.63863
        6.412              3.70056
        6.429              3.67524
        6.447              3.59224
        6.464              3.64538
        6.481              3.70711
        6.498              3.69425
        6.515              3.61872
        6.533              3.63884
        6.550              3.75295
        6.566              3.72469
        6.583              3.73955
        6.600              3.67674
        6.617              3.78391
        6.633              3.90503
        6.650              3.59347
        6.667              3.83894
        6.683              3.89994
        6.700              3.78414
        6.716              3.96966
        6.732              3.85401
        6.748              3.76036
        6.765              3.85874
        6.781              3.80661
        6.798              3.97519
        6.814              3.84434
        6.830              3.84199
        6.846              3.82585
        6.863              3.93363
        6.879              3.91647
        6.894              3.98806
        6.910              3.89172
        6.926              3.95418
        6.942              3.98174
        6.958              4.00458
        6.974              3.89752
        6.990              4.08105
        7.006              3.81308
        7.021              4.13123
        7.037              3.94177
        7.053              4.00025
        7.068              4.03933
        7.084              4.26673
        7.099              3.91915
        7.115              4.02356
        7.130              4.04401
        7.146              4.02588
        7.162              4.01276
        7.177              4.07681
        7.193              4.09541
        7.208              4.19410
        7.223              4.13994
        7.238              4.11365
        7.253              4.00713
