        t / s      omega / (rad/s)
        0.162              0.19359
        0.447              0.25725
        0.666              0.32475
        0.848              0.36647
        1.015              0.38522
        1.163              0.47166
        1.296              0.47905
        1.425              0.49498
        1.548              0.52394
        1.664              0.56377
        1.774              0.57544
        1.884              0.56998
        1.987              0.64951
        2.085              0.64182
        2.180              0.67293
        2.271              0.70696
        2.360              0.71608
        2.448              0.71023
        2.533              0.76065
        2.617              0.74009
        2.700              0.77756
        2.777              0.86379
        2.853              0.79555
        2.932              0.77836
        3.010              0.84456
        3.083              0.87951
        3.154              0.88039
        3.224              0.91315
        3.293              0.92904
        3.359              0.95842
        3.425              0.96203
        3.490              0.94825
        3.556              0.97325
        3.619              1.00308
        3.682              1.01563
        3.744              1.00684
        3.806              1.02459
        3.866              1.06576
        3.925              1.06576
        3.983              1.07799
        4.042              1.06574
        4.100              1.09988
        4.156              1.14460
        4.213              1.06471
        4.270              1.14835
        4.324              1.17691
        4.378              1.15549
        4.431              1.22312
        4.483              1.19730
        4.535              1.18047
        4.588              1.22070
        4.639              1.21267
        4.690              1.27764
        4.740              1.24351
        4.790              1.25086
        4.840              1.25385
        4.890              1.29764
        4.938              1.29974
        4.986              1.33265
        5.033              1.30783
        5.081              1.33676
        5.128              1.35308
        5.174              1.36823
        5.220              1.33873
        5.266              1.40838
        5.312              1.32216
        5.358              1.43958
        5.402              1.38080
        5.447              1.40674
        5.492              1.42592
        5.534              1.51231
        5.578              1.39369
        5.622              1.43955
        5.666              1.44921
        5.709              1.44767
        5.752              1.44651
        5.795              1.47482
        5.838              1.48739
        5.880              1.52586
        5.921              1.51220
        5.963              1.50889
        6.005              1.47475
        6.047              1.50788
        6.088              1.51859
        6.130              1.52653
        6.171              1.54515
        6.211              1.54980
        6.251              1.57312
        6.291              1.58458
        6.331              1.57485
        6.371              1.54922
        6.411              1.56880
        6.451              1.61746
        6.490              1.60298
        6.529              1.60142
        6.568              1.63323
        6.606              1.64792
        6.645              1.63026
        6.683              1.63625
        6.721              1.65552
        6.759              1.66112
        6.797              1.62781
        6.835              1.71452
        6.872              1.69921
        6.910              1.61165
        6.947              1.81800
        6.982              1.73033
