        t / s      omega / (rad/s)
        0.119              0.26301
        0.327              0.35733
        0.486              0.44389
        0.617              0.52098
        0.732              0.57272
        0.838              0.60588
        0.936              0.68898
        1.026              0.70533
        1.111              0.76834
        1.188              0.87777
        1.262              0.82754
        1.338              0.82610
        1.410              0.91291
        1.477              0.96608
        1.542              0.98014
        1.604              1.02865
        1.665              1.05772
        1.723              1.10285
        1.779              1.12142
        1.835              1.12396
        1.890              1.16478
        1.943              1.20898
        1.995              1.23106
        2.046              1.22723
        2.096              1.25516
        2.145              1.32016
        2.193              1.32955
        2.240              1.35460
        2.286              1.35431
        2.331              1.41370
        2.375              1.47833
        2.419              1.37859
        2.463              1.48986
        2.504              1.53170
        2.546              1.50463
        2.586              1.59532
        2.626              1.56329
        2.667              1.54408
        2.707              1.59959
        2.746              1.59145
        2.784              1.68031
        2.822              1.63791
        2.860              1.65295
        2.898              1.65998
        2.935              1.72199
        2.972              1.72791
        3.008              1.77416
        3.044              1.74451
        3.079              1.78535
        3.114              1.81160
        3.149              1.83515
        3.183              1.79653
        3.217              1.89321
        3.251              1.77913
        3.285              1.93716
        3.318              1.85904
        3.352              1.89578
        3.385              1.92423
        3.417              2.04179
        3.449              1.88526
        3.481              1.94864
        3.513              1.96577
        3.545              1.96891
        3.577              1.96971
        3.609              2.01281
        3.640              2.03392
        3.670              2.08938
        3.701              2.07469
        3.731              2.07256
        3.762              2.02821
        3.792              2.07805
        3.822              2.09286
        3.852              2.11249
        3.882              2.13757
        3.911              2.14986
        3.940              2.18257
        3.969              2.20123
        3.997              2.19217
        4.026              2.15754
        4.055              2.18865
        4.083              2.25624
        4.111              2.23904
        4.139              2.23593
        4.167              2.28372
        4.195              2.30720
        4.222              2.28015
        4.249              2.29313
        4.277              2.31792
        4.304              2.33082
        4.331              2.28355
        4.358              2.40827
        4.384              2.38614
        4.411              2.26437
        4.437              2.55445
        4.462              2.43572
        4.489              2.38207
        4.515              2.42875
        4.540              2.51418
        4.565              2.46564
        4.591              2.35176
        4.617              2.59026
        4.642              2.48190
        4.667              2.52804
        4.691              2.58418
        4.716              2.55383
        4.741              2.47477
        4.765              2.61767
        4.790              2.51670
        4.815              2.59368
        4.838              2.82924
        4.861              2.55788
        4.886              2.45035
        4.911              2.61016
        4.935              2.67074
        4.959              2.63104
        4.982              2.68088
        5.006              2.69007
        5.029              2.73932
        5.052              2.71929
        5.075              2.67415
        5.099              2.70839
        5.121              2.76378
        5.144              2.75736
        5.167              2.70850
        5.190              2.72259
        5.213              2.81820
        5.235              2.79837
        5.258              2.80888
        5.280              2.77403
        5.303              2.85353
        5.324              2.95624
        5.347              2.71717
        5.369              2.91550
        5.390              2.95777
        5.412              2.87995
        5.433              3.02411
        5.454              2.93552
        5.476              2.87758
        5.497              2.94764
        5.519              2.91198
        5.540              3.04698
        5.561              2.95152
        5.582              2.95027
        5.603              2.94612
        5.624              3.02848
        5.645              3.01989
        5.666              3.08060
        5.687              3.00501
        5.707              3.06198
        5.728              3.07894
        5.748              3.10572
        5.769              3.02134
        5.789              3.16709
        5.809              2.96419
        5.830              3.21013
        5.850              3.07261
        5.870              3.11759
        5.890              3.15168
        5.910              3.33414
        5.929              3.06094
        5.949              3.15263
        5.969              3.16533
        5.989              3.15770
        6.009              3.14584
        6.029              3.19739
        6.049              3.21769
        6.068              3.29463
        6.087              3.26213
        6.106              3.24226
        6.126              3.16310
        6.146              3.22827
        6.165              3.24076
        6.184              3.25486
        6.204              3.28224
        6.223              3.28636
        6.242              3.32866
        6.261              3.34159
        6.279              3.31829
        6.299              3.25554
        6.318              3.28704
        6.337              3.38534
        6.355              3.33928
        6.374              3.33007
        6.393              3.38954
        6.411              3.40755
        6.430              3.36846
        6.449              3.36719
        6.467              3.39723
        6.486              3.40331
        6.504              3.32672
        6.523              3.49746
        6.541              3.45515
        6.559              3.26824
        6.578              3.67997
        6.595              3.49474
        6.613              3.40959
        6.632              3.46582
        6.649              3.57751
        6.667              3.49649
        6.686              3.33025
        6.704              3.65344
        6.721              3.49532
        6.739              3.54822
        6.757              3.61789
        6.774              3.56796
        6.792              3.44851
        6.810              3.63652
        6.827              3.49066
        6.845              3.58855
        6.862              3.90187
        6.879              3.52354
        6.897              3.36593
        6.915              3.57385
        6.933              3.65599
        6.950              3.58609
        6.967              3.65429
        6.985              3.65578
        7.002              3.71062
        7.019              3.68278
        7.036              3.60709
        7.053              3.65259
        7.070              3.70886
        7.087              3.70493
        7.104              3.61976
        7.122              3.63652
        7.139              3.76284
        7.156              3.71896
        7.172              3.73222
        7.189              3.67782
        7.206              3.77686
        7.223              3.89994
        7.239              3.59019
        7.256              3.82934
        7.273              3.88907
        7.289              3.77278
        7.305              3.96016
        7.321              3.84763
        7.338              3.75452
        7.354              3.84457
        7.371              3.79626
        7.387              3.96265
        7.403              3.82631
        7.420              3.82818
        7.436              3.81122
        7.452              3.91720
        7.468              3.89607
        7.484              3.96992
        7.500              3.87397
        7.517              3.93412
        7.532              3.96016
