        t / s      omega / (rad/s)
        0.545              0.05762
        1.304              0.14697
        1.669              0.20748
        1.963              0.22160
        2.235              0.24139
        2.475              0.28479
        2.685              0.31536
        2.879              0.33141
        3.062              0.35753
        3.233              0.37686
        3.395              0.40052
        3.551              0.40625
        3.708              0.39511
        3.863              0.41524
        4.010              0.43805
        4.151              0.45255
        4.289              0.45781
        4.424              0.47422
        4.554              0.49821
        4.679              0.50546
        4.802              0.51421
        4.925              0.50358
        5.049              0.51622
        5.167              0.54236
        5.287              0.51040
        5.405              0.55777
        5.516              0.57674
        5.625              0.57009
        5.732              0.60779
        5.836              0.59875
        5.942              0.59421
        6.045              0.61718
        6.147              0.61565
        6.247              0.65067
        6.344              0.63449
        6.443              0.64064
        6.541              0.64281
        6.637              0.66513
        6.731              0.66652
        6.824              0.68380
        6.917              0.67147
        7.010              0.68649
        7.100              0.69690
        7.190              0.70825
        7.279              0.69468
        7.368              0.73362
        7.456              0.68969
        7.543              0.75197
        7.628              0.72263
        7.715              0.73823
        7.799              0.74981
        7.880              0.79558
        7.963              0.73278
        8.047              0.75676
        8.130              0.76295
        8.212              0.76271
        8.295              0.76225
        8.376              0.77763
        8.457              0.78386
        8.536              0.80358
        8.614              0.79603
        8.693              0.79329
        8.774              0.77464
        8.854              0.79251
        8.933              0.79804
        9.011              0.80306
        9.089              0.81410
        9.166              0.81762
        9.242              0.83109
        9.318              0.83823
        9.393              0.83362
        9.469              0.82121
        9.545              0.83198
        9.619              0.85832
        9.693              0.85144
        9.766              0.85161
        9.839              0.87030
        9.911              0.87985
        9.983              0.87166
       10.055              0.87593
       10.126              0.88665
       10.197              0.89150
       10.268              0.87468
       10.338              0.92326
       10.406              0.91677
       10.476              0.87089
       10.544              0.98464
       10.610              0.93884
       10.677              0.92160
       10.745              0.94101
       10.810              0.97673
       10.875              0.95913
       10.942              0.91709
       11.008              1.01213
       11.071              0.97131
       11.135              0.99146
       11.198              1.01432
       11.260              1.00306
       11.324              0.97352
       11.386              1.03064
       11.448              0.99193
       11.511              1.02294
       11.570              1.11630
       11.629              1.00896
       11.693              0.96675
       11.756              1.02966
       11.816              1.05447
       11.876              1.03942
       11.936              1.06243
       11.995              1.06643
       12.053              1.08685
       12.111              1.08396
       12.170              1.06442
       12.228              1.08329
       12.285              1.10468
       12.342              1.10754
       12.400              1.08805
       12.457              1.09685
       12.513              1.12905
       12.569              1.11936
       12.626              1.11777
       12.682              1.09473
       12.739              1.12296
       12.794              1.16072
       12.850              1.07209
       12.907              1.14931
       12.961              1.17136
       13.016              1.14078
       13.069              1.20087
       13.122              1.16838
       13.177              1.14552
       13.231              1.17795
       13.284              1.16349
       13.337              1.21961
       13.390              1.17983
       13.443              1.18187
       13.496              1.17716
       13.549              1.21035
       13.601              1.20407
       13.652              1.22589
       13.704              1.19564
       13.757              1.21431
       13.808              1.22277
       13.859              1.22971
       13.911              1.19534
       13.963              1.25118
       14.015              1.16749
       14.066              1.26404
       14.117              1.20587
       14.169              1.22334
       14.220              1.23507
       14.270              1.30465
       14.320              1.19716
       14.372              1.23096
       14.423              1.23522
       14.474              1.22927
       14.525              1.22336
       14.576              1.24459
       14.626              1.25235
       14.676              1.28038
       14.725              1.26583
       14.775              1.25880
       14.825              1.22620
       14.876              1.25133
       14.926              1.25696
       14.976              1.26029
       15.026              1.27270
       15.075              1.27301
       15.124              1.28888
       15.173              1.29550
       15.222              1.28467
       15.271              1.26206
       15.320              1.27448
       15.369              1.31050
       15.417              1.29515
       15.466              1.29084
       15.514              1.31379
       15.562              1.32367
       15.610              1.30576
       15.658              1.30802
       15.705              1.32097
       15.753              1.32347
       15.801              1.29540
       15.848              1.36244
       15.895              1.34682
       15.943              1.27621
       15.989              1.43744
       16.034              1.36710
       16.080              1.33577
       16.127              1.35844
       16.173              1.40538
       16.218              1.37512
       16.265              1.31113
       16.310              1.44199
       16.355              1.37916
       16.400              1.40287
       16.444              1.43096
       16.489              1.41170
       16.534              1.36656
       16.579              1.44351
       16.623              1.38692
       16.668              1.42738
       16.710              1.55594
       16.752              1.40504
       16.798              1.34463
       16.843              1.42998
       16.887              1.46325
       16.930              1.43875
       16.973              1.46687
       17.016              1.46738
       17.059              1.49227
       17.101              1.48220
       17.144              1.45219
       17.187              1.47372
       17.229              1.49846
       17.271              1.49778
       17.313              1.46673
       17.356              1.47586
       17.398              1.52549
       17.439              1.51322
       17.481              1.51815
       17.522              1.49593
       17.564              1.53871
       17.604              1.58787
       17.645              1.46287
       17.687              1.56341
       17.727              1.58987
       17.767              1.54374
       17.807              1.61617
       17.846              1.57627
       17.886              1.54026
       17.927              1.57806
       17.967              1.55667
       18.006              1.62764
       18.045              1.57576
       18.085              1.57596
       18.125              1.56966
       18.165              1.61385
       18.204              1.60617
       18.243              1.63633
       18.281              1.59597
       18.321              1.62034
       18.359              1.63026
       18.398              1.63970
       18.436              1.59476
       18.475              1.66973
       18.514              1.55825
       18.553              1.68776
       18.591              1.60967
       18.630              1.63284
       18.668              1.64602
       18.705              1.73929
       18.743              1.59524
       18.782              1.64073
       18.820              1.64589
       18.858              1.63800
       18.897              1.62908
       18.935              1.65613
       18.973              1.66438
       19.010              1.70041
       19.047              1.67919
       19.085              1.66924
       19.123              1.62331
       19.161              1.65369
       19.199              1.65893
       19.237              1.66134
       19.275              1.67565
       19.312              1.67453
       19.350              1.69203
       19.387              1.69880
       19.424              1.68283
       19.462              1.65160
       19.499              1.66513
       19.537              1.71013
       19.574              1.68726
       19.611              1.68256
       19.648              1.71004
       19.685              1.71916
       19.721              1.69600
       19.758              1.69683
       19.795              1.71069
       19.832              1.71092
       19.869              1.67275
       19.906              1.75734
       19.942              1.73554
       19.979              1.64069
       20.015              1.84572
       20.050              1.75293
       20.087              1.70976
       20.123              1.73732
       20.159              1.79463
       20.194              1.75293
       20.231              1.66871
       20.267              1.83290
       20.302              1.75063
       20.337              1.77777
       20.372              1.81254
       20.407              1.78601
       20.443              1.72795
       20.479              1.82111
