        t / s      omega / (rad/s)
        0.180              0.17444
        0.502              0.22133
        0.766              0.25727
        1.000              0.28049
        1.210              0.32143
        1.405              0.32417
        1.586              0.37413
        1.753              0.37604
        1.915              0.40099
        2.067              0.42576
        2.207              0.47186
        2.343              0.45450
        2.477              0.48850
        2.603              0.50923
        2.724              0.52506
        2.842              0.53994
        2.956              0.56647
        3.065              0.58674
        3.169              0.61631
        3.271              0.62499
        3.370              0.63711
        3.469              0.63610
        3.565              0.66496
        3.659              0.68362
        3.750              0.70025
        3.838              0.72217
        3.924              0.73681
        4.008              0.75986
        4.090              0.77715
        4.170              0.78343
        4.251              0.78215
        4.330              0.80178
        4.407              0.83740
        4.482              0.83959
        4.556              0.84953
        4.629              0.87748
        4.700              0.89597
        4.770              0.89614
        4.839              0.91014
        4.908              0.93162
        4.974              0.94480
        5.041              0.93622
        5.106              0.99509
        5.170              0.99417
        5.234              0.95144
        5.296              1.08293
        5.355              1.03911
        5.416              1.02450
        5.477              1.05242
        5.535              1.09863
        5.593              1.08419
        5.652              1.04226
        5.709              1.15585
        5.765              1.11455
        5.820              1.14277
        5.875              1.17572
        5.928              1.16890
        5.983              1.13991
        6.036              1.21278
        6.089              1.17267
        6.141              1.21586
        6.191              1.33330
        6.240              1.21201
        6.293              1.16773
        6.345              1.24974
        6.395              1.28706
        6.444              1.27391
        6.492              1.30739
        6.540              1.31613
        6.588              1.34572
        6.634              1.34495
        6.681              1.32467
        6.728              1.35140
        6.774              1.38134
        6.820              1.38677
        6.865              1.36463
        6.911              1.38034
        6.956              1.43148
        7.000              1.42534
        7.044              1.43872
        7.088              1.42444
        7.131              1.47468
        7.173              1.52727
        7.216              1.41110
        7.259              1.51329
        7.300              1.54534
        7.341              1.50633
        7.382              1.58434
        7.422              1.54166
        7.463              1.51183
        7.504              1.55459
        7.545              1.53679
        7.585              1.61314
        7.624              1.56228
        7.664              1.56754
        7.704              1.56504
        7.744              1.61476
        7.783              1.61207
        7.822              1.64667
        7.860              1.61016
        7.899              1.64026
        7.937              1.65582
        7.975              1.66906
        8.013              1.62591
        8.051              1.70762
        8.089              1.59800
        8.126              1.73478
        8.163              1.65928
        8.201              1.68690
        8.238              1.70637
        8.274              1.80582
        8.310              1.66160
        8.347              1.71134
        8.384              1.72081
        8.421              1.71719
        8.457              1.71269
        8.494              1.74378
        8.529              1.75665
        8.565              1.79957
        8.600              1.78034
        8.635              1.77411
        8.671              1.72995
        8.707              1.76777
        8.742              1.77782
        8.778              1.78500
        8.813              1.80401
        8.848              1.80697
        8.882              1.82981
        8.916              1.84133
        8.951              1.82842
        8.985              1.79838
        9.020              1.81658
        9.054              1.87011
        9.088              1.85126
        9.122              1.84479
        9.156              1.87984
        9.189              1.89509
        9.222              1.87133
        9.256              1.87446
        9.289              1.89458
        9.322              1.89842
        9.356              1.85745
        9.389              1.95567
        9.421              1.93388
        9.454              1.83157
        9.487              2.06460
        9.518              1.96325
        9.550              1.91718
        9.583              1.95215
        9.615              2.01740
        9.646              1.97429
        9.679              1.88176
        9.711              2.06936
        9.742              1.98058
        9.773              2.01358
        9.804              2.05507
        9.835              2.02899
        9.866              1.96251
        9.897              2.07352
        9.928              1.98929
        9.959              2.04831
        9.989              2.23164
       10.019              2.01455
       10.050              1.92765
       10.082              2.04938
       10.112              2.09551
       10.143              2.06141
       10.173              2.09929
       10.203              2.10238
       10.232              2.13569
       10.262              2.12334
       10.292              2.07791
       10.322              2.10944
       10.351              2.14195
       10.381              2.13830
       10.410              2.10028
       10.440              2.10704
       10.470              2.18333
       10.498              2.16103
       10.527              2.17223
       10.557              2.13787
       10.586              2.20633
       10.614              2.27528
       10.642              2.09621
       10.671              2.24063
       10.699              2.27899
       10.727              2.21293
       10.755              2.32126
       10.782              2.25414
       10.811              2.20215
       10.839              2.25941
       10.867              2.22571
       10.894              2.32823
       10.922              2.24930
       10.950              2.24994
       10.978              2.24087
       11.005              2.30263
       11.033              2.29230
       11.060              2.33532
       11.087              2.27668
       11.115              2.31536
       11.142              2.32780
       11.169              2.34351
       11.196              2.27718
       11.223              2.38723
       11.250              2.22721
       11.277              2.41308
       11.304              2.30288
       11.331              2.33367
       11.358              2.35811
       11.384              2.48711
       11.410              2.28504
       11.437              2.34666
       11.464              2.35705
       11.491              2.34535
       11.517              2.33680
       11.544              2.37397
       11.570              2.38668
       11.596              2.44159
       11.622              2.40984
       11.649              2.39615
       11.675              2.33767
       11.702              2.37972
       11.728              2.39287
       11.754              2.39451
       11.780              2.42033
       11.806              2.41670
       11.832              2.44710
       11.858              2.45533
       11.884              2.43478
       11.910              2.38786
       11.936              2.41160
       11.961              2.47594
       11.987              2.44749
       12.013              2.43591
       12.038              2.47730
       12.064              2.49343
       12.089              2.45744
       12.115              2.46042
       12.140              2.48063
       12.165              2.48200
       12.191              2.42435
       12.216              2.54803
       12.241              2.51892
       12.267              2.38054
       12.292              2.67883
       12.316              2.54442
       12.341              2.48190
       12.366              2.52124
       12.390              2.60303
       12.415              2.54370
       12.440              2.42043
       12.465              2.65719
       12.489              2.53866
       12.514              2.57899
       12.538              2.62884
       12.562              2.59100
       12.587              2.50426
       12.611              2.64221
       12.635              2.53273
       12.660              2.60562
       12.683              2.83397
       12.706              2.55653
       12.731              2.44083
       12.756              2.59400
       12.780              2.64867
       12.804              2.59851
       12.828              2.64734
       12.852              2.64778
       12.876              2.68558
       12.899              2.67040
       12.923              2.60767
       12.947              2.64700
       12.970              2.68375
       12.994              2.68306
       13.017              2.61963
       13.041              2.63567
       13.065              2.71717
       13.088              2.69352
       13.111              2.69804
       13.135              2.65584
       13.158              2.73479
       13.181              2.81732
       13.204              2.59090
       13.228              2.76622
       13.250              2.80825
       13.273              2.72566
       13.295              2.85794
       13.318              2.76951
       13.341              2.70862
       13.364              2.77208
       13.386              2.72980
       13.409              2.85560
       13.431              2.75325
       13.454              2.75736
       13.477              2.73837
       13.500              2.81820
       13.522              2.79949
       13.544              2.85236
       13.566              2.77943
