  0.0721	  mA	DC	  0.0272	   V	DC
  0.1661	  mA	DC	  0.0629	   V	DC
  0.2583	  mA	DC	  0.0979	   V	DC
  0.3400	  mA	DC	  0.1287	   V	DC
  0.4099	  mA	DC	  0.1550	   V	DC
  0.5142	  mA	DC	  0.1939	   V	DC
  0.5803	  mA	DC	  0.2183	   V	DC
  0.7129	  mA	DC	  0.2664	   V	DC
  0.8304	  mA	DC	  0.3097	   V	DC
  0.8951	  mA	DC	  0.3329	   V	DC
  1.0171	  mA	DC	  0.3762	   V	DC
  1.4170	  mA	DC	  0.5134	   V	DC
  2.3530	  mA	DC	  0.7961	   V	DC
  4.0090	  mA	DC	  1.1169	   V	DC
  4.9340	  mA	DC	  1.2340	   V	DC
  6.1290	  mA	DC	  1.3393	   V	DC
  7.2320	  mA	DC	  1.4052	   V	DC
  8.4220	  mA	DC	  1.4544	   V	DC
 10.0940	  mA	DC	  1.4975	   V	DC
 11.0080	  mA	DC	  1.5109	   V	DC
 12.3680	  mA	DC	  1.5243	   V	DC
 13.2260	  mA	DC	  1.5281	   V	DC
 14.4750	  mA	DC	  1.5343	   V	DC
 15.2460	  mA	DC	  1.5351	   V	DC
 16.6910	  mA	DC	  1.5367	   V	DC
 17.7060	  mA	DC	  1.5371	   V	DC
 18.9190	  mA	DC	  1.5336	   V	DC
 20.1700	  mA	DC	  1.5309	   V	DC
 21.1600	  mA	DC	  1.5290	   V	DC
 22.1200	  mA	DC	  1.5258	   V	DC
 22.6600	  mA	DC	  1.5240	   V	DC
 23.0400	  mA	DC	  1.5233	   V	DC
 23.6800	  mA	DC	  1.5220	   V	DC
 24.0100	  mA	DC	  1.5205	   V	DC
 24.5500	  mA	DC	  1.5183	   V	DC
 24.9100	  mA	DC	  1.5178	   V	DC
